decay_rank,cluster_id,violation_count,total_decayed_impact,avg_decayed_impact,last_active_date,first_violation_date,total_raw_impact,days_since_last_violation,trend_slope,trend_direction,decay_score_norm,hotspot_impact_score,orig_score_norm,hotspot_score_decay_blended,freshness
97,6915,272,356.005605585736,1.308844138182853,2024-04-08,2023-11-11,605.5200000000001,0,0.1786,stable,0.02283322402378589,440.2717315436242,0.1841743504513771,0.071236,active_this_week
98,6849,291,350.42546238260684,1.2042112109367933,2024-04-06,2023-11-10,579.12,1,2.5357,increasing,0.022475328929318982,426.6505714285714,0.17847635047352597,0.069276,active_this_week
99,8955,373,368.6088391866955,0.9882274509026688,2024-04-08,2023-11-11,524.675,0,12.8571,increasing,0.023641560891856664,416.77121621621615,0.1743436213002616,0.068852,active_this_week
100,7707,365,361.30277110505426,0.9898706057672719,2024-04-07,2023-11-11,533.2399999999999,1,9.7143,increasing,0.023172969705022188,418.79535135135126,0.17519035695697133,0.068778,active_this_week
101,11183,583,284.83714293309987,0.48857142870171505,2024-04-08,2023-11-10,479.35,0,0.2857,stable,0.018268673843452467,443.8297986577181,0.18566276011443472,0.068487,active_this_week
102,5130,191,376.9871076701003,1.9737544904193731,2024-04-08,2023-11-14,593.0400000000001,0,3.75,increasing,0.024178920074441036,408.02227586206897,0.1706837669616388,0.06813,active_this_week
103,9034,298,362.8121695018457,1.2174905016840458,2024-04-07,2023-11-17,541.9200000000001,0,7.0714,increasing,0.02326977838217315,408.41960563380286,0.1708499778431949,0.067544,active_this_week
104,10206,425,320.8268851247692,0.7548867885288687,2024-04-08,2023-11-10,503.09999999999997,0,8.3214,increasing,0.020576957289351133,418.41,0.17502915688495707,0.066913,active_this_week
105,6314,276,340.27718735275914,1.232888359973765,2024-04-08,2023-11-11,553.84,0,4.1786,increasing,0.02182444637697754,409.9188648648649,0.17147714755511564,0.06672,active_this_week
106,10237,457,311.52610361365316,0.6816763755222169,2024-04-08,2023-11-11,477.625,0,8.8929,increasing,0.019980430649018627,412.7041946308725,0.17264230594184374,0.065779,active_this_week
107,6367,402,277.13769242420085,0.6893972448363205,2024-04-04,2023-11-11,529.7600000000001,4,-5.5357,decreasing,0.017774852185671278,423.9422068965518,0.17734338816245188,0.065645,active_this_week
108,5225,381,305.42833370459846,0.8016491698283424,2024-03-31,2023-12-09,517.25,8,5.5357,increasing,0.019589336396022616,413.2339285714285,0.17286390409912694,0.065572,active_this_month
109,5138,311,309.95030573384753,0.9966247772792525,2024-04-05,2023-11-12,538.6400000000001,3,1.1786,increasing,0.019879363290973492,410.2048333333333,0.17159677380671506,0.065395,active_this_week
110,2749,429,342.8878732724739,0.7992724318705685,2024-04-05,2023-11-15,471.925,2,16.1429,increasing,0.02199188861812572,396.2148591549296,0.16574449163064778,0.065118,active_this_week
111,6288,369,300.57801121347813,0.8145745561340871,2024-04-03,2023-11-26,519.8800000000001,5,1.75,increasing,0.0192782500021858,407.22487500000005,0.1703501984508784,0.0646,active_this_week
112,6921,213,353.73692132170214,1.6607367198201979,2024-04-07,2023-11-12,538.12,0,4.1429,increasing,0.022687716831687903,382.0403673469388,0.15981502209018422,0.063826,active_this_week
113,6579,264,337.0490621458795,1.2767009929768163,2024-04-06,2023-11-13,511.20000000000005,2,6.1071,increasing,0.02161740327184373,380.7889655172414,0.15929153601868443,0.06292,active_this_week
114,12111,468,282.26666076739986,0.6031338905286322,2024-04-07,2023-11-10,448.02500000000003,1,9.0357,increasing,0.01810381016092138,392.7068918918919,0.16427703972359603,0.061956,active_this_week
115,6997,252,317.7340110417,1.2608492501654762,2024-04-07,2023-11-09,516.84,0,1.1071,increasing,0.020378588820686466,379.6476241610738,0.15881409041440164,0.061909,active_this_week
116,3983,261,295.39005475665766,1.1317626619029029,2024-04-07,2023-11-11,518.08,0,-0.1429,stable,0.018945508690965913,382.4831351351352,0.16000024059037263,0.061262,active_this_week
117,6482,264,271.44622089970284,1.0282053821958441,2024-04-05,2023-11-10,523.9200000000001,3,-4.8929,decreasing,0.017409816797731115,387.338301369863,0.16203125240318952,0.060796,active_this_week
118,5133,195,354.5836881113264,1.8183778877503918,2024-04-06,2023-11-21,496.32000000000005,1,7.8929,increasing,0.022742026133283258,352.16700000000003,0.1473184032234045,0.060115,active_this_week
119,9976,310,323.9942026111139,1.0451425890681094,2024-04-07,2023-11-11,458.34999999999997,0,9.9643,increasing,0.02078010035391377,362.037027027027,0.15144723023273093,0.05998,active_this_week
120,7767,317,304.9841868109341,0.9620952265329151,2024-04-07,2023-11-10,472.64,0,4.6071,increasing,0.019560850031304224,367.3642013422819,0.15367569233683517,0.059795,active_this_week
121,9855,383,276.48889130504216,0.7219031104570292,2024-04-07,2023-11-10,448.85,0,3.7143,increasing,0.017733239859718548,373.818389261745,0.15637560646393706,0.059326,active_this_week
122,5950,360,262.4644498602038,0.7290679162783439,2024-04-08,2023-11-11,467.04,0,-0.3571,stable,0.01683375061490287,378.6803758389262,0.15840947136054567,0.059306,active_this_week
123,8605,192,319.9562289696093,1.6664386925500485,2024-04-07,2023-11-10,500.88000000000005,0,3.25,increasing,0.02052111578931142,353.1588724832215,0.14773332304959327,0.058685,active_this_week
124,6912,208,297.45850155351377,1.4300889497765086,2024-04-07,2023-11-10,502.68000000000006,0,0.1786,stable,0.01907817320060528,360.7556510067114,0.15091120536600106,0.058628,active_this_week
125,12662,301,261.39282452496633,0.8684146994184928,2024-03-21,2023-11-14,485.5,18,-1.9643,decreasing,0.01676501950234417,371.98307086614176,0.15560785657412113,0.058418,active_this_month
126,5139,254,268.3952494596627,1.0566742104711129,2024-04-07,2023-11-12,489.0400000000001,1,-1.25,decreasing,0.01721413584976966,365.2913469387755,0.15280857644909113,0.057892,active_this_week
127,10210,431,273.532596202018,0.6346463949002737,2024-04-08,2023-11-11,410.22499999999997,0,11.2857,increasing,0.017543631192583346,363.3480872483221,0.15199567258630442,0.057879,active_this_week
128,4869,409,274.2375029124517,0.670507342084234,2024-04-03,2023-11-16,425.84000000000003,4,6.4286,increasing,0.017588841977421187,361.6388920863309,0.15128068253311455,0.057696,active_this_week
129,11209,438,269.4554441406767,0.6151950779467505,2024-04-08,2023-11-10,402.025,0,8.4286,increasing,0.01728213383148849,360.515,0.15081053630262253,0.057341,active_this_week
130,6584,364,275.41119368745785,0.756624158482027,2024-04-07,2023-11-10,434.96000000000004,0,6.6786,increasing,0.01766411928760925,357.91559731543623,0.14972315488180638,0.057282,active_this_week
131,6068,402,259.2495652158114,0.6448994159597299,2024-03-27,2023-11-12,426.88000000000005,12,2.75,increasing,0.0166275567231655,363.1835555555556,0.1519268457335385,0.057217,active_this_month
132,6996,239,289.98705341799,1.2133349515397072,2024-04-07,2023-11-09,472.64000000000004,0,0.75,increasing,0.01859897499028545,350.7836644295302,0.14673972666551077,0.057041,active_this_week
133,5481,259,282.161444201207,1.0894264254872859,2024-04-07,2023-11-11,465.24,1,2.9286,increasing,0.018097061858677817,352.50886486486485,0.14746141204027283,0.056906,active_this_week
134,6714,271,263.7335901048284,0.9731866793536104,2024-04-08,2023-11-10,469.24000000000007,0,-0.6071,decreasing,0.016915149792523787,357.6497046979866,0.14961192675472013,0.056724,active_this_week
135,8732,436,225.6912061499595,0.5176403810778888,2024-04-07,2023-11-22,431.2200000000001,1,-6.6786,decreasing,0.014475215528535887,371.0166715328468,0.15520359266905,0.056694,active_this_week
136,4516,221,289.87991980160996,1.3116738452561536,2024-04-08,2023-11-15,466.68,0,3.6429,increasing,0.01859210373369594,341.4038333333333,0.1428159582840413,0.055859,active_this_week
137,7298,267,274.9311157436486,1.0297045533469986,2024-04-08,2023-11-11,456.08,0,2.2857,increasing,0.017633328403792014,346.2369261744966,0.14483773636089303,0.055795,active_this_week
138,3982,245,272.5788173179534,1.1125666012977689,2024-04-08,2023-11-10,464.48,0,1.1071,increasing,0.0174824584284827,346.438,0.14492184950864165,0.055714,active_this_week
139,6661,234,282.3425436102675,1.206592066710545,2024-04-07,2023-11-10,459.40000000000003,1,0.7857,increasing,0.018108677078530463,342.4957046979866,0.14327270961498964,0.055658,active_this_week
140,9331,287,298.3602327750028,1.0395826925958287,2024-04-07,2023-11-11,426.80000000000007,1,8.0,increasing,0.019136007770248153,333.91108108108114,0.13968159220899634,0.0553,active_this_week
141,6721,231,279.380496113543,1.2094393771149048,2024-04-08,2023-11-12,458.48,0,2.1429,increasing,0.0179186994686259,339.67473469387755,0.14209264221359638,0.055171,active_this_week
142,9737,438,224.7777485169277,0.5131912066596522,2024-03-18,2023-11-10,402.475,20,-4.5357,decreasing,0.014416628858989108,354.8222093023256,0.14842912965331567,0.05462,active_this_month
143,12616,253,274.9618509160642,1.0868057348461035,2024-04-03,2023-11-15,442.5,5,3.5357,increasing,0.017635299673530926,336.4118705035972,0.14072772175697515,0.054563,active_this_week
144,8468,346,205.29813901671906,0.5933472225916736,2024-04-06,2023-11-14,449.5200000000001,2,-11.5,decreasing,0.013167260083229718,361.10783333333336,0.15105853018065277,0.054535,active_this_week
145,11210,416,254.84422811747146,0.6126063175900757,2024-04-08,2023-11-14,382.8,0,6.9286,increasing,0.016345010473082747,342.207397260274,0.14315210492641503,0.054387,active_this_week
146,6366,338,240.32800778632964,0.7110296088352948,2024-04-04,2023-11-12,423.68000000000006,4,0.8571,increasing,0.01541397987806091,345.2705,0.1444334612276178,0.05412,active_this_week
147,9782,351,240.1085779576387,0.6840700226713353,2024-04-04,2023-11-09,416.25,3,-0.0,stable,0.01539990625012531,343.66438356164383,0.1437615910379365,0.053908,active_this_week
148,4518,219,278.2497028732252,1.2705465884622156,2024-04-07,2023-11-12,446.48,0,4.1071,increasing,0.0178461734887659,329.0665714285714,0.1376550382547414,0.053789,active_this_week
149,6916,199,290.0701777069463,1.4576390839545041,2024-04-08,2023-11-11,442.84000000000003,0,3.0,increasing,0.01860430635440382,323.4607567567568,0.13531001539280924,0.053616,active_this_week
150,3393,291,268.9797985575545,0.9243292046651357,2024-04-08,2023-11-09,414.32000000000005,0,5.3929,increasing,0.017251627227140263,329.342,0.13777025545949073,0.053407,active_this_week
